school_year,state_id,state_abbrev,eval_year,class_remove_year,suspension_year,PBIS,enroll,FRPL_percent,enroll_OTHER,enroll_AM,enroll_ASIAN,enroll_HISP,enroll_BLACK,enroll_WHITE,ODR_class,ODR_other,ODR_subjective,ODR_objective
2006,2,AK,2016,,,,,,,,,,,,,,,
2007,2,AK,2016,,,,,,,,,,,,,,,
2008,2,AK,2016,,,,,,,,,,,,,,,
2009,2,AK,2016,,,,,,,,,,,,,,,
2010,2,AK,2016,,,,229,0.593886435031891,0,199,2,1,0,22,2.24762392044067,2.3503725528717,1.46416640281677,1.01464176177979
2011,2,AK,2016,,,,224,0.638392865657806,0,144,0,0,0,25,1.54532968997955,2.29818248748779,1.29437863826752,0.832100570201874
2012,2,AK,2016,,,,221,0.526077091693878,46,136,1,0,0,29,2.09210681915283,2.41604590415955,1.4577260017395,0.512903571128845
2013,2,AK,2016,,,,255,0.650980412960053,0,153,0,0,0,32,1.44979202747345,2.34105753898621,1.08140230178833,1.05763518810272
2014,2,AK,2016,,,,216,0.754629611968994,0,110,0,2,0,30,2.35518956184387,3.6471791267395,1.95144271850586,1.14394927024841
2015,2,AK,2016,,,,,,,,,,,,,,,
2016,2,AK,2016,,,,229,0.949671745300293,0,123,1,9,0,30,6.36562585830689,7.93050861358643,5.33121109008789,3.06345725059509
2017,2,AK,2016,,,,234,0.929336190223694,0,117,1,8,0,28,6.37299871444702,7.91526508331299,5.27684307098389,2.98256349563599
2006,4,AZ,2014,,,,,,,,,,,,,,,
2007,4,AZ,2014,,,,,,,,,,,,,,,
2008,4,AZ,2014,,,,1770,0.107344634830952,0,8,63,400,131,1169,0.624792277812958,0.61814558506012,0.358923226594925,0.427052170038223
2009,4,AZ,2014,,,,2522,0.542037487030029,0,12,66,737,137,1257,0.642345070838928,0.607069492340088,0.34332612156868,0.353552341461182
2010,4,AZ,2014,,,,3353,0.587628841400147,0,44,87,1317,195,1378,1.30841910839081,0.473337173461914,0.684140801429749,0.292757660150528
2011,4,AZ,2014,,,,2718,0.423818528652191,5,40,78,1084,142,1363,1.56452369689941,0.240980610251427,1.15621888637543,0.111491143703461
2012,4,AZ,2014,,,,3308,0.684210538864136,0,43,64,1390,148,1244,1.84353160858154,0.287919610738754,1.10540568828583,0.171526581048965
2013,4,AZ,2014,,,,2645,1,0,28,52,1170,137,1227,3.12794399261475,0.429481863975525,1.86940658092499,0.249671086668968
2014,4,AZ,2014,,,,3557,0.694334626197815,0,43,60,1826,176,1406,1.50486290454865,0.45947128534317,0.926589787006378,0.333396822214127
2015,4,AZ,2014,,,,3544,0.685968816280365,0,48,58,1823,181,1382,0.789448440074921,0.427669823169708,0.672097980976105,0.264352530241013
2016,4,AZ,2014,,,1,3522,0.685968816280365,0,49,62,1793,192,1371,1.31346213817596,0.3762226998806,0.865133702754974,0.281470328569412
2017,4,AZ,2014,,,,2890,0.444458603858948,0,45,64,1314,173,1205,0.861070811748505,0.283132970333099,0.586691558361054,0.216095075011253
2006,5,AR,2013,,,,782,0.702955365180969,0,2,15,40,93,1075,1.86899960041046,1.51614201068878,0.966050982475281,0.455140233039856
2007,5,AR,2013,,,1,3131,0.51116269826889,0,5,30,95,689,2787,2.24254322052002,1.36986374855042,1.35325884819031,0.382190763950348
2008,5,AR,2013,,,,3491,0.5206258893013,0,5,40,125,812,3023,2.37968063354492,1.61553239822388,1.10281777381897,0.320195585489273
2009,5,AR,2013,,,1,5156,0.603751003742218,0,18,58,271,1345,3836,1.46492600440979,1.5134791135788,1.09828472137451,0.554949283599854
2010,5,AR,2013,,,,4587,0.625368714332581,0,16,61,259,724,3669,1.19176459312439,1.85514354705811,0.86322408914566,0.436558246612549
2011,5,AR,2013,,,1,4883,0.618127763271332,0,9,78,281,924,3691,1.19707405567169,1.29549181461334,0.886231660842896,0.453834682703018
2012,5,AR,2013,,,1,5153,0.659156322479248,0,18,72,299,1250,3679,1.34921884536743,1.36983180046082,0.980175673961639,0.427324116230011
2013,5,AR,2013,,,1,3897,0.661833941936493,0,18,44,262,777,2780,1.09409523010254,1.30213475227356,0.793787360191345,0.331675827503204
2014,5,AR,2013,,,0,4993,0.682204127311707,0,20,47,405,1334,3095,1.27003788948059,1.6314799785614,0.867323517799377,0.423882752656937
2015,5,AR,2013,,,1,3812,0.663438260555267,0,16,26,287,928,2493,2.39224076271057,1.22919034957886,1.68322825431824,0.353835999965668
2016,5,AR,2013,,,0,3210,0.645321130752564,0,12,19,194,712,2257,0.820397257804871,0.882655620574951,0.612005472183228,0.241182684898376
2017,5,AR,2013,,,1,3208,0.639887452125549,0,10,17,190,712,2257,1.27500796318054,0.825199127197266,0.859849989414215,0.266526073217392
2006,6,CA,,,2014,,25830,0.577754676342011,0,117,2853,7992,1542,7703,1.08572673797607,1.15838587284088,0.450691044330597,0.552463173866272
2007,6,CA,,,2014,,31152,0.604186534881592,0,171,4076,12123,2257,9475,0.659024477005005,0.975664377212524,0.489508092403412,0.395911276340485
2008,6,CA,,,2014,0,41526,0.666941821575165,0,428,4274,19872,3240,9923,0.897799372673035,1.01289129257202,0.586666703224182,0.479397684335709
2009,6,CA,,,2014,0,46319,0.6865234375,160,375,5393,21813,3004,10886,0.920138895511627,1.00612413883209,0.51578426361084,0.443922191858292
2010,6,CA,,,2014,1,57650,0.596648037433624,1024,535,8031,23250,2981,18956,1.08999598026276,1.17696070671082,0.668590664863586,0.459616243839264
2011,6,CA,,,2014,1,92820,0.388713002204895,569,674,11145,39316,3809,23923,0.942864537239075,0.91461968421936,0.58825957775116,0.411885738372803
2012,6,CA,,,2014,1,114134,0.676069140434265,412,997,12808,54305,4148,28444,0.941869020462036,0.831079542636871,0.578326046466827,0.369149506092072
2013,6,CA,,,2014,1,152526,0.708133697509766,10,1700,16303,88545,5156,35212,0.877532124519348,0.896317839622498,0.523266732692719,0.380249917507172
2014,6,CA,,,2014,1,197240,0.764132559299469,0,3263,18930,117552,7071,43919,0.863787353038788,0.862167418003082,0.501703917980194,0.362600386142731
2015,6,CA,,,2014,1,207879,0.76189136505127,0,3795,22041,122671,7063,45536,0.89992356300354,0.786514759063721,0.54952597618103,0.357649743556976
2016,6,CA,,,2014,1,195010,0.755023300647736,0,4476,21080,116544,6374,40403,0.799648404121399,0.692244648933411,0.460912227630615,0.328070461750031
2017,6,CA,,,2014,1,178431,0.76864504814148,0,2160,18602,109044,5595,35841,0.786041498184204,0.71082615852356,0.490301370620728,0.319638311862946
2006,8,CO,2013,,2012,1,13276,0.392771303653717,0,172,543,3126,872,7991,0.706124782562256,0.874832034111023,0.420880675315857,0.388483613729477
2007,8,CO,2013,,2012,1,19060,0.41491049528122,0,262,805,4441,1114,11118,0.921390116214752,0.998184084892273,0.55745530128479,0.526428937911987
2008,8,CO,2013,,2012,1,26737,0.383982449769974,0,337,1024,5976,1570,15606,0.783091425895691,1.02132439613342,0.500771999359131,0.51176393032074
2009,8,CO,2013,,2012,1,32761,0.430769234895706,14,420,1335,7733,2307,19552,0.880200147628784,1.03822362422943,0.524415910243988,0.434027791023254
2010,8,CO,2013,,2012,1,30582,0.47467252612114,161,251,1135,7876,1808,17383,0.72937399148941,1.01839995384216,0.452289789915085,0.437759041786194
