id,treat,frpl,dorf,female,school,sat10_compreh,read180_attend
236,0,1,80.561089,1,1,622.46289,0
310,0,0,123.09885,1,4,655.78583,0
289,0,0,82.375656,0,1,611.00085,0
271,0,0,125.38103,1,4,681.81439,0
255,0,1,97.406204,0,2,646.52972,0
167,0,1,123.98488,0,3,667.89288,0
250,0,1,96.453461,1,3,631.22357,0
264,0,1,69.209412,1,3,617.48737,0
220,0,1,115.89249,1,1,640.26074,0
217,0,1,88.897072,0,2,625.35236,0
215,0,1,88.919609,0,4,640.08392,0
284,0,0,74.570808,1,3,601.88171,0
268,0,0,56.657093,1,1,585.73285,0
199,0,1,76.59832,0,3,617.5816,0
222,0,1,68.054054,1,3,606.97418,0
223,0,1,83.127396,0,3,612.34161,0
194,0,1,63.315048,1,3,626.2973,0
189,0,1,86.405899,0,2,611.78101,0
252,0,1,85.263718,1,1,628.5401,0
262,0,1,99.872696,1,1,632.51904,0
160,0,1,68.356194,1,1,610.93884,0
247,0,1,57.758629,0,4,599.94543,0
179,0,1,66.136856,0,2,618.97058,0
274,0,0,133.18222,0,4,686.85144,0
273,0,0,49.30925,1,1,571.63623,0
295,0,0,111.54976,0,3,657.88922,0
282,0,0,93.797478,1,1,633.89484,0
178,0,1,82.301025,1,3,607.91968,0
177,0,1,153.7618,0,1,676.51587,0
210,0,1,136.4075,1,2,655.2865,0
197,0,1,115.65149,0,4,653.04364,0
279,0,0,121.1717,0,4,652.95837,0
256,0,0,144.1713,1,2,664.88275,0
170,0,1,62.089191,1,4,589.79199,0
212,0,1,112.68413,1,4,645.28571,0
253,0,1,67.507828,0,3,608.65912,0
228,0,1,120.77978,1,3,648.5769,0
188,0,1,68.927307,1,4,603.12219,0
159,0,1,41.566887,1,2,591.15656,0
191,0,1,104.3679,0,1,646.44244,0
291,0,0,118.31074,0,4,676.45514,0
185,0,1,78.024071,0,2,617.99597,0
226,0,1,18.791464,1,3,551.71967,0
296,0,0,74.913582,1,3,619.98108,0
288,0,0,70.344856,1,2,615.04639,0
280,0,0,126.01849,1,1,674.14331,0
169,0,1,107.86315,0,1,652.34155,0
301,0,0,72.359077,0,2,627.97577,0
229,0,1,119.00035,0,1,653.69965,0
285,0,0,106.21682,0,1,634.75995,0
276,0,0,70.410858,1,3,614.60962,0
286,0,0,93.039764,1,3,621.68005,0
157,0,1,116.16019,1,3,652.59979,0
205,0,1,88.917229,0,1,631.76141,0
281,0,0,54.891495,0,3,590.58936,0
263,0,1,59.995586,0,2,593.14734,0
182,0,1,115.02262,1,2,659.0838,0
272,0,0,91.999802,0,1,635.00079,0
230,0,1,38.227463,1,4,589.04706,0
304,0,0,95.911232,1,2,633.89032,0
193,0,1,99.641655,0,1,639.81812,0
156,0,1,142.68036,1,2,678.93829,0
241,0,1,61.091824,0,3,605.8902,0
306,0,0,68.981972,1,2,603.1344,0
173,0,1,21.872974,0,4,554.25885,0
231,0,1,94.685043,0,2,657.07562,0
267,0,0,106.04794,1,1,641.87244,0
184,0,1,135.0652,1,4,663.2536,0
183,0,1,89.109344,1,4,613.25427,0
265,0,1,133.52049,0,1,664.17944,0
166,0,1,117.58302,1,2,655.30615,0
249,0,1,97.830009,0,1,633.96851,0
221,0,1,85.043671,0,2,635.30804,0
246,0,1,73.745354,1,3,594.3717,0
219,0,1,69.618477,0,3,601.34796,0
164,0,1,39.141815,1,2,570.18579,0
168,0,1,78.298637,1,2,608.64331,0
239,0,1,86.555321,0,4,627.552,0
198,0,1,93.444572,1,4,626.72729,0
303,0,0,118.68466,0,2,658.66272,0
243,0,0,134.04071,0,1,666.15759,0
174,0,1,25.382282,1,1,558.93414,0
261,0,1,86.801231,0,4,633.37897,0
269,0,0,45.264015,1,4,585.79468,0
203,0,1,51.494659,0,2,609.13593,0
218,0,1,54.902893,1,4,596.91626,0
240,0,1,91.817253,1,3,639.30573,0
245,0,1,124.94109,0,1,662.99115,0
162,0,1,81.572227,1,4,603.33289,0
211,0,1,70.727364,0,3,600.05328,0
227,0,1,61.398251,0,1,606.45642,0
186,0,1,83.854675,1,1,634.84064,0
208,0,1,107.1944,1,3,639.58911,0
307,0,0,89.457466,1,1,624.23376,0
260,0,1,27.044859,1,3,586.72009,0
254,0,1,74.05909,1,1,582.31714,0
283,0,0,112.73894,0,2,644.49988,0
292,0,0,100.35539,1,4,660.69464,0
224,0,1,109.3592,1,3,653.60754,0
312,0,0,129.8656,1,3,657.11053,0
171,0,1,108.32246,0,2,635.62762,0
299,0,0,91.408936,0,3,619.82684,0
259,0,1,78.963211,0,2,604.56628,0
209,0,1,87.567375,0,2,629.89941,0
192,0,1,64.651466,1,2,612.69159,0
216,0,1,52.640411,1,2,595.59009,0
233,0,1,83.658165,0,1,626.0705,0
242,0,1,53.179768,1,2,603.69244,0
244,0,1,78.145676,1,3,621.24902,0
196,0,1,91.646317,1,1,634.34869,0
207,0,1,62.235458,0,4,600.4837,0
237,0,1,70.373039,0,1,599.76135,0
290,0,1,68.491959,1,1,603.6554,0
297,0,0,89.159592,0,2,624.27283,0
277,0,0,80.335014,0,4,620.77667,0
201,0,1,74.15554,0,2,605.66577,0
214,0,1,71.11515,1,2,608.94049,0
258,0,1,87.925758,1,4,635.36029,0
248,0,1,80.647354,1,2,620.41199,0
275,0,0,118.32088,1,1,633.26752,0
163,0,1,101.96649,0,2,645.11938,0
293,0,0,52.431034,0,4,583.72021,0
181,0,1,112.55413,1,1,638.25348,0
234,0,1,101.12609,1,1,635.97546,0
232,0,1,85.737419,1,1,604.18927,0
202,0,1,67.819603,1,2,596.9447,0
206,0,1,71.329857,1,4,598.35242,0
235,0,1,81.134407,0,2,622.02435,0
225,0,1,75.811951,0,4,609.86786,0
270,0,0,85.441978,0,3,636.76343,0
158,0,1,96.062279,0,2,629.62012,0
165,0,1,60.641945,0,3,588.30164,0
251,0,1,70.14946,0,2,606.93176,0
311,0,0,91.857765,0,4,631.58722,0
308,0,0,80.000732,1,1,608.18793,0
213,0,1,72.784561,0,4,607.06366,0
287,0,0,104.90762,0,3,649.54285,0
175,0,1,71.529831,1,2,622.60071,0
257,0,1,70.284653,0,3,625.73578,0
266,0,1,89.100395,1,2,615.33551,0
298,0,0,115.45191,1,4,664.11243,0
278,0,0,84.331909,1,4,637.3111,0
305,0,0,96.383492,1,2,633.77704,0
200,0,1,96.402702,1,4,639.70392,0
190,0,1,85.898239,1,4,618.24518,0
302,0,1,49.590458,1,4,586.66168,0
180,0,1,88.58123,1,3,627.20428,0
176,0,1,75.570213,1,2,614.5191,0
238,0,1,51.97974,1,2,593.59521,0
294,0,0,109.73413,1,3,646.97791,0
300,0,0,63.626583,1,3,609.41925,0
172,0,1,75.439697,1,1,625.75867,0
309,0,0,82.18853,0,3,639.72723,0
195,0,1,112.96461,0,4,661.25977,0
204,0,1,70.423012,1,3,608.64514,0
187,0,1,46.09071,0,3,580.82312,0
161,0,1,111.28207,1,3,661.85925,0
2,1,1,102.98411,1,3,637.84045,0
118,1,0,74.659935,1,4,627.16956,0
30,1,1,34.733528,1,2,549.82196,.16108115
63,1,1,69.048203,0,1,638.3924,.18432136
37,1,1,101.91663,0,4,637.54718,.21181937
11,1,1,79.530869,1,1,610.78583,.26293853
73,1,1,103.91645,0,1,637.16034,.27501595
99,1,1,107.08606,0,4,643.24091,.32693791
70,1,1,95.738373,1,4,599.77283,.32911164
77,1,1,52.929924,0,2,603.72491,.33864102
